Country Name,Supply Plan Bucket Description,L5 - Product,Review Status - Inventory,Review Status - Supply Plan,DataMeasure,Period,Value
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-05,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-06,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-07,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-08,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-09,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-10,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-11,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2027-12,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-01,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-02,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-03,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-04,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-05,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-06,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-07,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory Adjustment,2028-08,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2026-03,860000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2026-05,840000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2026-06,300000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2026-08,493000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2026-10,3389488.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2027-05,2654666.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2027-12,2654666.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Expected Requirements,2028-07,2654666.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Un-Shipped Orders,2026-08,493000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Un-Shipped Orders,2026-10,1200000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,In-Transit Shipments,2026-04,450000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Delivered Shipments,2026-08,300000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Received Shipments,2026-03,860000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Received Shipments,2026-04,390000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Manual Adjustment,2026-04,-450000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Manual Adjustment,2026-07,450000.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-02,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-03,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-04,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-05,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-06,994004.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-07,1064766.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-08,1478528.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-09,1099290.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-10,1920052.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-11,1540814.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2026-12,1161576.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-01,782338.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-02,403100.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-03,23862.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-04,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-05,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-06,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-07,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-08,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-09,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-10,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-11,0.0
Malawi,MOH Supply Plan,"Medroxyprogesterone Acetate 104 mg/0.65 mL, Subcutaneous, Pre-Filled Device",In Review,Ready to Use Approved,Projected Inventory,2027-12,0.0
